ID,Unlocalised name,Type,Min Level,Max Level,Class
97,enchantment.soul_stealer,weapon,1,5,moze_intel.ssr.gameObjs.SoulStealerEnchant
100,enchantment.imperviousness,armor,1,1,ganymedes01.ganysend.enchantment.ImperviousnessEnchantment
101,enchant.cofh.holding,all,1,4,cofh.core.enchantment.EnchantmentHolding
102,enchant.cofh.multishot,bow,1,4,cofh.core.enchantment.EnchantmentMultishot
110,enchantment.Red,digger,1,1,pixlepix.auracascade.enchant.KaleidoscopeEnchantment
111,enchantment.Orange,digger,1,1,pixlepix.auracascade.enchant.KaleidoscopeEnchantment
112,enchantment.Yellow,digger,1,1,pixlepix.auracascade.enchant.KaleidoscopeEnchantment
113,enchantment.Green,digger,1,1,pixlepix.auracascade.enchant.KaleidoscopeEnchantment
114,enchantment.Blue,digger,1,1,pixlepix.auracascade.enchant.KaleidoscopeEnchantment
115,enchantment.Violet,digger,1,1,pixlepix.auracascade.enchant.KaleidoscopeEnchantment
153,enchantment.haste,armor,1,3,thaumcraft.common.lib.enchantment.EnchantmentHaste
154,enchantment.repair,all,1,2,thaumcraft.common.lib.enchantment.EnchantmentRepair
157,enchantment.Magnetization,all,1,4,net.meteor.common.enchantment.EnchantmentMagnetized
158,enchantment.Cold Touch,armor,1,2,net.meteor.common.enchantment.EnchantmentColdTouch
166,enchantment.ttinkerer:dispersedStrike,weapon,1,5,thaumic.tinkerer.common.enchantment.EnchantmentDispersedStrikes
167,enchantment.ttinkerer:shatter,digger,1,5,thaumic.tinkerer.common.enchantment.EnchantmentShatter
168,enchantment.ttinkerer:finalStrike,weapon,1,5,thaumic.tinkerer.common.enchantment.EnchantmentFinalStrike
169,enchantment.ttinkerer:focusedStrike,weapon,1,5,thaumic.tinkerer.common.enchantment.EnchantmentFocusedStrikes
170,enchantment.ttinkerer:pounce,armor_legs,1,5,thaumic.tinkerer.common.enchantment.EnchantmentPounce
171,enchantment.ttinkerer:shockwave,armor_feet,1,5,thaumic.tinkerer.common.enchantment.EnchantmentShockwave
172,enchantment.ttinkerer:tunnel,digger,1,5,thaumic.tinkerer.common.enchantment.EnchantmentTunnel
173,enchantment.ttinkerer:valiance,weapon,1,5,thaumic.tinkerer.common.enchantment.EnchantmentValiance
180,enchantment.draconicevolution.reaperEnchant,weapon,1,5,com.brandon3055.draconicevolution.common.magic.EnchantmentReaper
188,Reading,armor_head,1,1,jds.bibliocraft.EnchantmentReading
197,Eternal Compass,all,1,1,jds.bibliocraft.EnchantmentDeathCompass
211,enchantment.openblocks.explosive,armor,1,3,openblocks.enchantments.EnchantmentExplosive
212,enchantment.openblocks.laststand,armor,1,2,openblocks.enchantments.EnchantmentLastStand
213,enchantment.openblocks.flimflam,all,1,4,openblocks.enchantments.EnchantmentFlimFlam
220,enchantment.ttinkerer:ascentBoost,armor_legs,1,4,thaumic.tinkerer.common.enchantment.EnchantmentAscentBoost
221,enchantment.ttinkerer:slowFall,armor_feet,1,3,thaumic.tinkerer.common.enchantment.EnchantmentSlowFall
222,enchantment.ttinkerer:autoSmelt,digger,1,1,thaumic.tinkerer.common.enchantment.EnchantmentAutoSmelt
223,enchantment.ttinkerer:desintegrate,digger,1,1,thaumic.tinkerer.common.enchantment.EnchantmentDesintegrate
224,enchantment.ttinkerer:quickDraw,bow,1,2,thaumic.tinkerer.common.enchantment.EnchantmentQuickDraw
225,enchantment.ttinkerer:vampirism,weapon,1,2,thaumic.tinkerer.common.enchantment.EnchantmentVampirism
